pair,delta
"'n',Key.backspace",0.35178065299987793
"Key.backspace,Key.backspace",0.1200251579284668
"Key.backspace,Key.backspace",0.12387990951538086
"Key.backspace,Key.backspace",0.11412501335144043
"Key.backspace,Key.backspace",0.12596511840820312
"Key.backspace,Key.backspace",0.1338489055633545
"Key.backspace,Key.backspace",0.14022016525268555
"Key.backspace,Key.backspace",0.14196205139160156
"Key.backspace,'s'",0.8450989723205566
"'s',Key.space",0.09876775741577148
"Key.space,'i'",0.20133304595947266
"'i','n'",0.07496118545532227
"'n','t'",0.10972189903259277
"'t','o'",0.060243844985961914
"'o',Key.space",0.13389325141906738
"Key.space,'s'",0.1400768756866455
"'s','o'",0.2060239315032959
"'o','m'",0.09482097625732422
"'m','e'",0.0652921199798584
"'e','t'",0.13679885864257812
"'t','h'",0.09007000923156738
"'h','i'",0.10291099548339844
"'i','n'",0.09525108337402344
"'n','g'",0.07986593246459961
"'g',Key.space",0.11389517784118652
"Key.space,'t'",0.10207295417785645
"'t','h'",0.0620729923248291
"'h','a'",0.05786395072937012
"'a','t'",0.07378506660461426
"'t',Key.space",0.32030582427978516
"Key.space,'i'",0.24215912818908691
"'i','s'",0.08386588096618652
"'s',Key.space",0.06584906578063965
"Key.space,'n'",0.10821819305419922
"'n','o'",0.06598305702209473
"'o','t'",0.11173868179321289
"'t',Key.space",0.09418010711669922
"Key.space,'a'",0.09607887268066406
"'a','s'",0.3460221290588379
"'s',Key.space",0.15792202949523926
"Key.space,'s'",0.18795204162597656
"'s','c'",0.17800688743591309
"'c','a'",0.10410809516906738
"'a','r'",0.16592693328857422
"'r','y'",0.27004218101501465
"'y',Key.space",0.10990691184997559
"Key.space,'t'",0.11595487594604492
"'t','o'",0.10413002967834473
"'o',Key.space",0.07785701751708984
"Key.space,'b'",0.10213088989257812
"'b','e'",0.15402507781982422
"'e',Key.space",0.0819709300994873
"Key.space,'p'",0.2780332565307617
"'p','a'",0.08000779151916504
"'a','s'",0.13597893714904785
"'s','s'",0.1539762020111084
"'s','i'",0.0881338119506836
"'i','n'",0.06763815879821777
"'n','g'",0.05625104904174805
"'g',Key.space",0.05988574028015137
"Key.space,'a'",0.14403510093688965
"'a','r'",0.25603604316711426
"'r','o'",0.14804911613464355
"'o','u'",0.09796905517578125
"'u','n'",0.18404102325439453
"'n','d'",0.14802789688110352
"'d',Key.space",1.7698869705200195
"Key.space,Key.shift",0.07409095764160156
"Key.shift,'('",0.20399212837219238
"'(','a'",0.21800684928894043
"'a','v'",0.17608904838562012
"'v','e'",0.17782378196716309
"'e','r'",0.09610128402709961
"'r','a'",0.10394287109375
"'a','g'",0.17208504676818848
"'g','e'",0.10001492500305176
"'e',Key.space",0.1599431037902832
"Key.space,'t'",0.11002802848815918
"'t','i'",0.08000612258911133
"'i','m'",0.10095477104187012
"'m','e'",0.06286907196044922
"'e','s'",0.08221602439880371
"'s',Key.space",0.10584783554077148
"Key.space,'b'",0.3462090492248535
"'b','e'",0.16989493370056152
"'e','t'",0.09398722648620605
"'t','w'",0.10801100730895996
"'w','e'",0.04205584526062012
"'e','e'",0.2022562026977539
"'e','n'",0.1316978931427002
"'n',Key.space",0.09984683990478516
"Key.space,'k'",0.2401442527770996
"'k','e'",0.12836074829101562
"'e','y'",0.11564111709594727
"'y','s'",0.07599997520446777
"'s',Key.space",0.5497770309448242
"Key.space,'p'",0.20623207092285156
"'p','r'",0.09000992774963379
"'r','e'",0.10187697410583496
"'e','s'",0.15009808540344238
"'s','s'",0.19400715827941895
"'s','e'",0.01750469207763672
"'e','e'",1.2388060092926025
"'e',Key.backspace",0.5026090145111084
"Key.backspace,'d'",0.12294793128967285
"'d',Key.backspace",0.8597290515899658
"Key.backspace,Key.backspace",0.5053980350494385
"Key.backspace,Key.backspace",0.084197998046875
"Key.backspace,Key.backspace",0.08618497848510742
"Key.backspace,Key.backspace",0.08854007720947266
"Key.backspace,Key.backspace",0.08477187156677246
"Key.backspace,Key.backspace",0.08905696868896484
"Key.backspace,Key.backspace",0.08637619018554688
"Key.backspace,Key.backspace",0.08685302734375
"Key.backspace,Key.backspace",0.08810997009277344
"Key.backspace,Key.backspace",0.08396792411804199
"Key.backspace,Key.backspace",0.08806300163269043
"Key.backspace,Key.backspace",0.08452796936035156
"Key.backspace,Key.backspace",0.08734416961669922
"Key.backspace,Key.backspace",0.08813786506652832
"Key.backspace,Key.backspace",0.08454608917236328
"Key.backspace,Key.backspace",0.08662796020507812
"Key.backspace,Key.backspace",0.08831405639648438
"Key.backspace,'t'",0.7104618549346924
"'t','w'",0.13200616836547852
"'w','e'",0.10995006561279297
"'e','e'",0.1680128574371338
"'e','n'",0.1400599479675293
"'n',Key.space",0.11382722854614258
"Key.space,'k'",0.1642158031463623
"'k','e'",0.09184098243713379
"'e','y'",0.1301119327545166
"'y',Key.space",0.07784008979797363
"Key.space,'p'",0.08434486389160156
"'p','r'",0.08762693405151367
"'r','e'",0.09414911270141602
"'e','s'",0.13596510887145996
"'s','s'",0.14801883697509766
"'s','e'",0.10011696815490723
"'e','s'",0.17191338539123535
"'s',Key.shift",0.22594475746154785
"Key.shift,')'",0.08624601364135742
"')',Key.backspace",1.863724946975708
"Key.backspace,Key.space",0.13983511924743652
"Key.space,'a'",0.07813286781311035
"'a','n'",0.09209513664245605
"'n','d'",0.02429986000061035
"'d',Key.space",0.10361909866333008
"Key.space,'s'",0.06375789642333984
"'s','t'",0.17042922973632812
"'t','u'",0.11590194702148438
"'u','f'",0.07606697082519531
"'f','f'",0.10795307159423828
"'f',Key.shift",0.17997193336486816
"Key.shift,')'",0.06589078903198242
"')',Key.enter",0.2998490333557129
"Key.enter,'i'",0.49848508834838867
"'i','t'",0.08189821243286133
"'t','",0.08993673324584961
"','s'",0.12143325805664062
"'s',Key.space",0.05643272399902344
"Key.space,'s'",0.4462740421295166
"'s','c'",0.1797189712524414
"'c','a'",0.10217905044555664
"'a','r'",0.13200902938842773
"'r','y'",0.18399596214294434
"'y',Key.space",0.13574814796447754
"Key.space,'b'",0.17220187187194824
"'b','u'",0.09200215339660645
"'u','t'",0.09622693061828613
"'t',Key.space",0.045907020568847656
"Key.space,'a'",0.08386397361755371
"'a','l'",0.09599590301513672
"'l','l'",0.12401413917541504
"'l',Key.space",0.05192875862121582
"Key.space,'t'",0.12179303169250488
"'t','h'",0.05988502502441406
"'h','e'",0.09467220306396484
"'e',Key.space",0.06373095512390137
"Key.space,'d'",0.18604397773742676
"'d','a'",0.1280679702758789
"'a','t'",0.08596515655517578
"'t','a'",0.10796499252319336
"'a',Key.space",0.08387875556945801
"Key.space,'s'",0.45014095306396484
"'s','t'",0.14393115043640137
"'t','a'",0.09606194496154785
"'a','y'",0.14986491203308105
"'y','s'",0.07607293128967285
"'s',Key.space",0.10190916061401367
"Key.space,'l'",0.1241152286529541
"'l','o'",0.18602490425109863
"'o','c'",0.0600130558013916
"'c','a'",0.08597302436828613
"'a','l'",0.0640099048614502
"'l',Key.space",0.5419909954071045
"Key.space,'s'",0.12404990196228027
"'s','o'",0.20703887939453125
"'o',Key.space",0.16882705688476562
"Key.space,'n'",0.20585203170776367
"'n','o'",0.09498310089111328
"'o',Key.space",0.08943486213684082
"Key.space,'w'",0.12962794303894043
"'w','o'",0.06797528266906738
"'o','r'",0.10248875617980957
"'r','r'",0.14172911643981934
"'r','i'",0.0690000057220459
"'i','e'",0.06978487968444824
"'e','s'",0.14524221420288086
"'s',Key.enter",0.07194805145263672
"'l','i'",0.18995189666748047
"'i','n'",0.08189630508422852
"'n','k'",0.13196682929992676
"'k','e'",0.11200904846191406
"'e','d'",0.18401885032653809
"'d','i'",0.11989712715148926
"'i','n'",0.05893111228942871
"'n',Key.enter",0.3231348991394043
"Key.enter,Key.shift_r",0.0037870407104492188
"'r','a'",0.1039571762084961
"'a','h'",0.10999798774719238
"'h','i'",0.11653304100036621
"'k','a'",0.08399605751037598
"'a','e'",0.24207496643066406
"'e','s'",0.15011286735534668
"'s',Key.backspace",0.3674912452697754
"Key.backspace,Key.backspace",0.13600683212280273
"Key.backspace,Key.backspace",0.09825706481933594
"Key.backspace,Key.backspace",0.11458587646484375
"Key.backspace,Key.backspace",0.1371750831604004
"Key.backspace,'j'",0.6662521362304688
"'j','a'",0.08211708068847656
"'a','m'",0.10972881317138672
"'m','e'",0.07827401161193848
"'e','s'",0.12214183807373047
"'s',Key.space",0.42751216888427734
"Key.space,'b'",0.11226487159729004
"'b','a'",0.09178018569946289
"'a','r'",0.156005859375
"'r','t'",0.28781723976135254
"'c','s'",0.12719511985778809
"'s',Key.enter",1.2527148723602295
"'p','a'",0.10557174682617188
"'a','p'",0.10239720344543457
"'p','e'",0.11985588073730469
"'e','r'",0.07135796546936035
"'r',Key.enter",0.09671187400817871
"Key.enter,Key.backspace",0.3358778953552246
"Key.backspace,Key.shift",0.5513589382171631
"Key.shift,'#'",0.3366692066192627
"'#','#'",0.3600916862487793
"'#','#'",0.2158222198486328
"'#',Key.space",0.1437208652496338
"Key.space,Key.backspace",0.440554141998291
"Key.backspace,Key.enter",0.6896688938140869
"Key.enter,Key.backspace",0.5714888572692871
"Key.backspace,Key.shift",0.1475672721862793
"Key.shift,'#'",0.36004090309143066
"'#','#'",0.16001391410827637
"'#',Key.space",0.16808700561523438
"Key.space,'C'",0.13532400131225586
"'C','o'",0.12056708335876465
"'o','s'",0.10769009590148926
"'s','t'",0.13295888900756836
"'t','i'",0.13476777076721191
"'i','n'",0.08648133277893066
"'n','g'",0.09935569763183594
"'g',Key.space",0.07676124572753906
"Key.space,'a'",0.08375978469848633
"'a','n'",0.09623217582702637
"'n','d'",0.0635228157043457
"'d',Key.space",0.09639120101928711
"Key.space,Key.shift",0.07235479354858398
"Key.shift,'S'",0.09151101112365723
"'S','e'",0.12854719161987305
"'e','a'",0.11537003517150879
"'a','r'",0.07195782661437988
"'r','c'",0.22819995880126953
"'c','h'",0.06414008140563965
"'h','i'",0.083953857421875
"'i','n'",0.10781526565551758
"'n','g'",0.06396603584289551
"'g',Key.enter",0.15503883361816406
"Key.shift,'#'",0.2923150062561035
"'#','#'",0.22794318199157715
"'#','#'",0.1915898323059082
"'#',Key.space",0.1042029857635498
"Key.space,'W'",0.19158101081848145
"'W','h'",0.1203470230102539
"'h','a'",0.13594388961791992
"'a','t'",0.09226512908935547
"'t','",0.0802910327911377
"','s'",0.16344094276428223
"'s',Key.space",0.07620811462402344
"Key.space,'n'",0.512462854385376
"'n','e'",0.14340996742248535
"'e','e'",0.12818503379821777
"'e','d'",0.22196102142333984
"'d','e'",0.2150869369506836
"'e','d'",0.43689799308776855
"'d',Key.enter",0.37874317169189453
"Key.enter,'-'",0.337993860244751
"'-',Key.space",0.1626439094543457
"Key.space,Key.backspace",1.9523561000823975
"Key.backspace,Key.shift",0.7939801216125488
"Key.shift,')'",0.08038091659545898
"')',Key.space",0.15612411499023438
"Key.space,Key.shift",1.5666978359222412
"Key.shift,'P'",0.08741402626037598
"'P','l'",0.15673089027404785
"'l','a'",0.09178709983825684
"'a','n'",0.09561586380004883
"'n',Key.space",0.1403791904449463
"Key.space,'s'",0.13979101181030273
"'s','p'",0.10012698173522949
"'p','a'",0.0761420726776123
"'a','c'",0.15199589729309082
"'c','e'",0.17200708389282227
"'e',Key.enter",0.17805910110473633
"Key.enter,Key.tab",0.11575484275817871
"Key.tab,'b'",1.374842882156372
"'b','a'",0.07628488540649414
"'a','s'",0.14802837371826172
"'s','e'",0.11604571342468262
"'e','d'",0.20224928855895996
"'d',Key.space",0.08055663108825684
"Key.space,'o'",0.2310802936553955
"'o','n'",0.11206507682800293
"'n',Key.space",0.09564876556396484
"Key.space,'r'",0.25095319747924805
"'r','e'",0.09234380722045898
"'e','l'",0.5198609828948975
"'l','a'",0.16781997680664062
"'a','t'",0.12830209732055664
"'t','i'",0.07201313972473145
"'i','o'",0.08779382705688477
"'o','n'",0.09602212905883789
"'n','a'",0.09974908828735352
"'a','l'",0.09647369384765625
"'l',Key.space",0.36087727546691895
"Key.space,'e'",0.4180417060852051
"'e','q'",0.20225310325622559
"'q','u'",0.2706770896911621
"'u','i'",0.11613583564758301
"'i','v'",0.1875922679901123
"'v','a'",0.09203290939331055
"'a','l'",0.09219789505004883
"'l','e'",0.21686506271362305
"'e','n'",0.12155389785766602
"'n','c'",0.1767411231994629
"'c','e'",0.20110177993774414
"'e','s'",0.10371232032775879
"'s',Key.space",0.21593785285949707
"Key.space,'d'",0.17009902000427246
"'d','i'",0.14005684852600098
"'i','f'",0.08398318290710449
"'f','f'",0.1218099594116211
"'f','e'",0.14060306549072266
"'e','r'",0.0967397689819336
"'r','e'",0.11154413223266602
"'e','n'",0.028132200241088867
"'n','t'",0.1799018383026123
"'t',Key.space",0.15315485000610352
"Key.space,'i'",0.543100118637085
"'i','m'",0.2990081310272217
"'m','p'",0.23968291282653809
"'p','l'",0.2066349983215332
"'l','e'",0.13231801986694336
"'e','m'",0.09672403335571289
"'m','e'",0.08068490028381348
"'e','n'",0.14364981651306152
"'n','t'",0.10790705680847168
"'t','t'",0.2834141254425049
"'t',Key.backspace",0.3816068172454834
"Key.backspace,'a'",0.08952116966247559
"'a','t'",0.04410099983215332
"'t','i'",0.11933708190917969
"'i','o'",0.08003997802734375
"'o','n'",0.05033087730407715
"'n','s'",0.09728503227233887
"'s',Key.enter",0.2605891227722168
"Key.shift,Key.tab",0.6157581806182861
"Key.shift,'C'",0.15969204902648926
"'C','o'",0.22989797592163086
"'o','s'",0.06383991241455078
"'s','t'",0.12062597274780273
"'t',Key.space",0.08037805557250977
"Key.space,'e'",0.31792211532592773
"'e','s'",0.2741210460662842
"'s','t'",0.13192296028137207
"'t','i'",0.15710997581481934
"'i','m'",0.2093198299407959
"'m','a'",0.15999197959899902
"'a','t'",0.11158895492553711
"'t','i'",0.08839011192321777
"'i','o'",0.0916910171508789
"'o','n'",0.06003212928771973
"'n',Key.space",0.5426568984985352
"Key.space,'b'",0.2255849838256836
"'b','a'",0.11163806915283203
"'a','s'",0.10831308364868164
"'s','e'",0.12065887451171875
"'e','d'",0.223311185836792
"'d',Key.space",0.07982373237609863
"Key.space,'o'",0.19120526313781738
"'o','n'",0.052141666412353516
"Key.enter,Key.tab",0.11041808128356934
"Key.tab,'c'",0.5605111122131348
"'c','o'",0.07256889343261719
"'o','s'",0.14377093315124512
"'s','t'",0.15816998481750488
"'t',Key.space",0.09195804595947266
"Key.space,'f'",0.16115903854370117
"'f','o'",0.0877389907836914
"'o','r'",0.10392999649047852
"'r','m'",0.10803794860839844
"'m','u'",0.6553070545196533
"'u','l'",0.18185114860534668
"'l','a'",0.12377190589904785
"'a','s'",0.18425393104553223
"'s',Key.enter",0.28760600090026855
"Key.enter,'e'",0.26839303970336914
"'e',Key.backspace",0.3558981418609619
"Key.backspace,'s'",0.08998274803161621
"'s','i'",0.1174612045288086
"'i','z'",0.11636185646057129
"'z','e'",0.1933131217956543
"'e',Key.space",0.39485692977905273
"Key.space,'s'",0.17611002922058105
"'s',Key.backspace",0.34365296363830566
"Key.backspace,'e'",0.03989005088806152
"'e','s'",0.08017683029174805
"'s','t'",0.1462709903717041
"'t','i'",0.10791826248168945
"'i','m'",0.1121368408203125
"'m','a'",0.12900304794311523
"'a','t'",0.062200069427490234
"'t','i'",0.06820893287658691
"'i','o'",0.11226296424865723
"'o','n'",0.0364530086517334
"'n',Key.space",0.5056860446929932
"Key.space,'i'",0.17483091354370117
"'i','n'",0.07625889778137207
"'n',Key.space",0.1039571762084961
"Key.space,'t'",0.24215173721313477
"'t','u'",0.21793413162231445
"'u','r'",0.12128520011901855
"'r','n'",0.12001895904541016
"'n',Key.space",0.12853693962097168
"Key.space,'b'",0.20300889015197754
"'b','a'",0.1038050651550293
"'a','s'",0.12018799781799316
"'s','e'",0.13208818435668945
"'e','d'",0.20099186897277832
"'d',Key.space",0.11196112632751465
"Key.space,'o'",0.17410898208618164
"'o','n'",0.0799417495727539
"'n',Key.enter",0.4698941707611084
"Key.enter,Key.tab",0.13869595527648926
"Key.tab,'c'",0.838054895401001
"'c','a'",0.13994908332824707
"'a','t'",0.11631107330322266
"'t','a'",0.09606194496154785
"'a','l'",0.21460604667663574
"'l','o'",0.19138407707214355
"'o','g'",0.1272897720336914
"'g',Key.space",0.10229301452636719
"Key.space,'i'",0.33875203132629395
"'i','n'",0.08859801292419434
"'n','f'",0.16196990013122559
"'f','o'",0.12643814086914062
"'o','r'",0.11649584770202637
"'r','m'",0.11594009399414062
"'m','a'",0.1042320728302002
"'a','t'",0.10013580322265625
"'t','i'",0.08766722679138184
"'i','o'",0.052114009857177734
"'o','n'",0.05600881576538086
"'n',Key.space",0.31093716621398926
"Key.space,'o'",0.4492611885070801
"'o','n'",0.11577963829040527
"'n',Key.space",0.8385941982269287
"Key.space,'b'",0.285444974899292
"'b','a'",0.10797810554504395
"'a','s'",0.13997483253479004
"'s','e'",0.15400290489196777
"'e',Key.space",0.19984912872314453
"Key.space,'t'",0.13178205490112305
"'t','a'",0.08835291862487793
"'a','b'",0.18804502487182617
"'b','l'",0.05989503860473633
"'l','e'",0.11969399452209473
"'e','s'",0.06861591339111328
"'s',Key.enter",0.21444392204284668
"Key.enter,'s'",1.9761850833892822
"'s','e'",0.15658998489379883
"'e','l'",0.10916614532470703
"'l','e'",0.04005074501037598
"'e','c'",0.20715713500976562
"'c','t'",0.16698527336120605
"'t','i'",0.10097169876098633
"'i','v'",0.09183192253112793
"'v','i'",0.12424921989440918
"'i','t'",0.14371085166931152
"'t','y'",0.21229290962219238
"'y',Key.space",0.2598702907562256
"Key.space,Key.shift",0.15379095077514648
"Key.shift,'('",0.09235191345214844
"'(','r'",0.3168981075286865
"'r','e'",0.10404777526855469
"'e','d'",0.231032133102417
"'d','u'",0.27611708641052246
"'u','c'",0.1998610496520996
"'c','t'",0.2760586738586426
"'t','i'",0.07594609260559082
"'i','o'",0.0757749080657959
"'o','n'",0.07223320007324219
"'n',Key.space",0.11951279640197754
"Key.space,'f'",0.16843008995056152
"'f','a'",0.07602119445800781
"'a','c'",0.2342677116394043
"'c','t'",0.18270111083984375
"'t','o'",0.07202625274658203
"'o','r'",0.1316087245941162
"'r',Key.shift",0.18149924278259277
"Key.shift,')'",0.08794999122619629
"')',Key.space",0.2068638801574707
"Key.space,'e'",0.09618997573852539
"'e','t'",0.24877691268920898
"'t',Key.backspace",0.5495579242706299
"Key.backspace,Key.backspace",0.1330561637878418
"Key.backspace,'e'",0.6143348217010498
"'e','s'",0.10820508003234863
"'s','t'",0.15391898155212402
"'t','i'",0.2119312286376953
"'i','m'",0.10375499725341797
"'m','a'",0.08374881744384766
"'a','t'",0.09677624702453613
"'t','i'",0.0910789966583252
"'i','o'",0.07279276847839355
"'o','n'",0.06000804901123047
"Key.enter,Key.shift",0.13623499870300293
"Key.shift,Key.tab",0.32021284103393555
"Key.tab,Key.tab",0.27575111389160156
"'a',Key.space",0.14326906204223633
"Key.space,'s'",0.12467503547668457
"'s','e'",0.11565995216369629
"'e','a'",0.09629607200622559
"'a','r'",0.11204791069030762
"'r','c'",0.19374608993530273
"'c','h'",0.068267822265625
"'h',Key.space",0.11087727546691895
"Key.space,'a'",0.214033842086792
"'a','l'",0.13570213317871094
"'l','g'",0.07641887664794922
"'g','o'",0.13630390167236328
"'o','r'",0.15566420555114746
"'r','i'",0.103759765625
"'i','t'",0.172194242477417
"'t','h'",0.10805082321166992
"'h','m'",0.19790911674499512
"'m',Key.enter",1.4280800819396973
"Key.enter,Key.tab",0.1235818862915039
"Key.tab,'t'",0.42000317573547363
"'t','o'",0.06432580947875977
"'o',Key.space",0.09926080703735352
"Key.space,'s'",0.2094893455505371
"'s','i'",0.23827886581420898
"'i','f'",0.10797405242919922
"'f','t'",0.22701692581176758
"'t',Key.space",0.1558680534362793
"Key.space,'t'",0.11610174179077148
"'t','h'",0.0959022045135498
"'h','r'",0.0837860107421875
"'r','o'",0.07616114616394043
"'o','u'",0.08019375801086426
"'u','g'",0.09191417694091797
"'g','h'",0.09997296333312988
"'h',Key.space",0.11471796035766602
"Key.space,'t'",0.10847997665405273
"'t','h'",0.05155491828918457
"'h','e'",0.09585905075073242
"'e',Key.space",0.05603504180908203
"Key.space,'p'",0.14403796195983887
"'p','l'",0.15939807891845703
"'l','a'",0.12455511093139648
"'a','n'",0.13117265701293945
"'n',Key.space",0.1248772144317627
"Key.space,'s'",0.11119794845581055
"'s','p'",0.08807802200317383
"'p','a'",0.20292401313781738
"'a','c'",0.18015480041503906
"'c','e'",0.1969742774963379
"'e',Key.space",0.07590985298156738
"Key.space,'a'",0.09192204475402832
"'a','n'",0.05543994903564453
"'n','d'",0.056565046310424805
"'d',Key.space",0.08443593978881836
"Key.space,'f'",0.10390305519104004
"'f','i'",0.0958559513092041
"'i','n'",0.08791089057922363
"'n','d'",0.1119542121887207
"'d',Key.space",0.12370896339416504
"Key.space,'l'",0.24123501777648926
"'l','o'",0.17609000205993652
"'o','w'",0.1446061134338379
"'w','e'",0.07137465476989746
"'e','s'",0.26905226707458496
"'s','t'",0.12395501136779785
"'t',Key.space",0.06797003746032715
"Key.space,'c'",0.6237509250640869
"'c','o'",0.1202690601348877
"'o','s'",0.15603089332580566
"'s','t'",0.17299413681030273
"'t',Key.space",0.06378579139709473
"Key.space,'o'",0.25403594970703125
"'o','p'",0.226945161819458
"'p','t'",0.18720006942749023
"'t','i'",0.07573485374450684
"'i','o'",0.07234811782836914
"'o','n'",0.07199287414550781
"'n',Key.shift",0.773871898651123
"Key.shift,'!'",0.1480083465576172
"Key.enter,Key.backspace",0.3280048370361328
"Key.backspace,Key.backspace",0.41196298599243164
"Key.backspace,Key.shift",1.1553261280059814
"Key.shift,'#'",0.5397250652313232
"'#','#'",0.2119128704071045
"'#','#'",0.18430304527282715
"'#',Key.space",0.12740302085876465
"Key.space,'S'",0.4719099998474121
"'S','y'",0.3025839328765869
"'y','s'",0.1821269989013672
"'s','t'",0.1746227741241455
"'t','e'",0.09637618064880371
"'e','m'",0.09199213981628418
"'m',Key.space",0.1948399543762207
"Key.space,Key.shift",0.14876794815063477
"Key.shift,'R'",0.19579100608825684
"'R',Key.space",0.1898190975189209
"Key.space,Key.shift",0.258760929107666
"Key.shift,'O'",0.10768413543701172
"'O','p'",0.1749110221862793
"'p','t'",0.472301721572876
"'t','i'",0.09993696212768555
"'i','m'",0.18599700927734375
"'m','i'",0.14735913276672363
"'i','z'",0.10868406295776367
"'z','e'",0.24095797538757324
"'e','r'",0.07200884819030762
"'r',Key.enter",0.29909300804138184
"'.',Key.space",0.13661623001098633
"Key.space,Key.shift",1.7626030445098877
"Key.shift,'P'",0.12442874908447266
"'P','l'",0.17436599731445312
"'l','a'",0.14116406440734863
"'a','n'",0.10440802574157715
"'n',Key.space",0.10781478881835938
"Key.space,Key.shift",0.41756129264831543
"Key.shift,'S'",0.14058375358581543
"'S','p'",0.12801718711853027
"'p','a'",0.12774896621704102
"'a','c'",0.19538187980651855
"'c','e'",0.22786521911621094
"'e',Key.shift",0.16393399238586426
"Key.shift,':'",0.08405900001525879
"':',Key.space",0.10393881797790527
"Key.backspace,Key.backspace",0.265578031539917
"Key.backspace,Key.enter",0.584108829498291
"Key.enter,Key.tab",0.12414813041687012
"Key.tab,'c'",0.67405104637146
"'c','o'",0.08800888061523438
"'o','n'",0.09198808670043945
"'n','s'",0.12771201133728027
"'s','i'",0.2011868953704834
"'i','d'",0.25795817375183105
"'d','e'",0.2861289978027344
"'e','r'",0.17996001243591309
"'r',Key.space",0.18494081497192383
"Key.space,'o'",0.22708821296691895
"'o','n'",0.07986593246459961
"'n','l'",0.16403698921203613
"'l','y'",0.24294304847717285
"'y',Key.space",0.13650202751159668
"Key.space,'l'",0.3494880199432373
"'l','e'",0.15275883674621582
"'e','f'",0.10425114631652832
"'f','-'",0.4393589496612549
"'-',Key.backspace",0.6165280342102051
"Key.backspace,'t'",0.1117861270904541
"'t','-'",0.2714228630065918
"'-','d'",0.4046049118041992
"'d','e'",0.29425907135009766
"'e','e'",0.1648118495941162
"'e','p'",0.08794808387756348
"'p',Key.space",0.1801438331604004
"Key.space,'p'",0.5209472179412842
"'p','l'",0.837148904800415
"'l','a'",0.10815000534057617
"'a','n'",0.08786606788635254
"'n','s'",0.12765002250671387
"'s',Key.enter",0.17091798782348633
"'a','v'",0.5419039726257324
"'v','o'",0.16526484489440918
"'o','i'",0.08006811141967773
"'i','d'",0.14995694160461426
"'d',Key.space",0.12328410148620605
"Key.space,'a'",0.16405892372131348
"'a',Key.backspace",0.34870314598083496
"Key.backspace,'c'",0.1407918930053711
"'c','a'",0.14478802680969238
"'a','r'",0.1203908920288086
"'r','t'",0.18477106094360352
"'t','e'",0.12020683288574219
"'e','s'",0.49498438835144043
"'s','i'",0.14097261428833008
"'i','a'",0.10870218276977539
"'a','n'",0.09202909469604492
"'n',Key.space",0.11208796501159668
"Key.space,'p'",0.1901710033416748
"'p','r'",0.14002490043640137
"'r','o'",0.10766220092773438
"'o','d'",0.09949970245361328
"'d','u'",0.15346312522888184
"'u','c'",0.07646679878234863
"'c','t'",0.2115311622619629
"'t','s'",0.08825492858886719
"Key.enter,Key.shift",0.10824394226074219
"Key.shift,Key.tab",0.27191925048828125
"Key.tab,Key.shift",0.8117907047271729
